"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.04.2023","6,745","7,520","7,580","6,600","11,19M","-9,22%"
"23.04.2023","7,430","7,320","7,880","7,240","17,86M","1,50%"
"16.04.2023","7,320","7,185","7,830","7,115","5,54M","2,88%"
"09.04.2023","7,115","6,850","8,000","6,830","9,83M","4,79%"
"02.04.2023","6,790","6,590","6,975","6,565","33,23M","3,98%"
"26.03.2023","6,530","6,365","6,855","6,310","11,16M","3,49%"
"19.03.2023","6,310","6,190","6,410","6,120","43,04M","1,86%"
"12.03.2023","6,195","6,220","6,510","5,925","164,68M","1,56%"
"05.03.2023","6,100","5,640","6,405","5,570","182,38M","10,41%"
"26.02.2023","5,525","5,410","5,700","5,360","31,84M","1,84%"
"19.02.2023","5,425","5,240","5,650","5,055","36,65M","3,93%"
"12.02.2023","5,220","5,620","5,790","5,060","53,63M","-6,95%"
"05.02.2023","5,610","5,375","5,760","5,310","62,81M","4,37%"
"29.01.2023","5,375","5,235","5,685","5,225","101,33M","2,87%"
"22.01.2023","5,225","5,110","5,400","5,100","67,36M","2,65%"
"15.01.2023","5,090","4,745","5,855","4,685","391,48M","8,07%"
"08.01.2023","4,710","4,580","4,840","4,560","29,16M","2,95%"
"01.01.2023","4,575","4,520","4,695","4,460","8,64M","1,67%"
"25.12.2022","4,500","4,345","4,780","4,300","57,59M","4,29%"
"18.12.2022","4,315","4,320","4,680","4,235","19,74M","0,35%"
"11.12.2022","4,300","4,605","4,645","4,185","11,85M","-6,93%"
"04.12.2022","4,620","4,650","4,800","4,545","6,91M","-0,32%"
"27.11.2022","4,635","4,805","4,805","4,605","6,18M","-3,03%"
"20.11.2022","4,780","4,875","4,885","4,600","19,46M","-1,95%"
"13.11.2022","4,875","4,810","5,240","4,730","24,57M","2,42%"
"06.11.2022","4,760","4,660","5,040","4,630","26,28M","2,15%"
"30.10.2022","4,660","4,800","4,800","4,570","5,73M","-2,61%"
"23.10.2022","4,785","4,520","4,890","4,490","16,70M","6,81%"
"16.10.2022","4,480","4,570","4,750","4,340","14,90M","-0,88%"
"09.10.2022","4,520","3,750","5,030","3,595","36,58M","18,64%"
"02.10.2022","3,810","3,865","4,100","3,800","6,63M","0,26%"
"25.09.2022","3,800","4,075","4,270","3,720","17,04M","-11,42%"
"18.09.2022","4,290","5,025","5,070","4,230","19,25M","-14,20%"
"11.09.2022","5,000","5,130","5,285","4,965","15,20M","-2,53%"
"04.09.2022","5,130","5,290","5,480","5,020","16,06M","-2,84%"
"28.08.2022","5,280","5,135","5,445","5,000","28,85M","3,13%"
"21.08.2022","5,120","4,845","5,240","4,820","20,50M","5,03%"
"14.08.2022","4,875","4,800","5,055","4,760","9,80M","1,56%"
"07.08.2022","4,800","4,555","4,870","4,500","9,28M","6,67%"
"31.07.2022","4,500","4,755","4,820","4,500","6,10M","-5,66%"
"24.07.2022","4,770","4,690","4,875","4,580","9,40M","2,91%"
"17.07.2022","4,635","4,750","4,960","4,505","9,69M","-2,22%"
"10.07.2022","4,740","5,070","5,270","4,610","18,61M","-14,67%"
"03.07.2022","5,555","5,370","5,835","5,235","30,09M","3,45%"
"26.06.2022","5,370","5,400","5,605","5,200","12,28M","-0,56%"
"19.06.2022","5,400","5,590","5,670","5,325","9,89M","-3,23%"
"12.06.2022","5,580","5,510","5,720","5,510","7,04M","1,45%"
"05.06.2022","5,500","5,360","5,845","5,200","15,21M","4,17%"
"29.05.2022","5,280","5,705","6,115","5,220","14,50M","-5,63%"
"22.05.2022","5,595","5,300","6,070","4,885","14,47M","5,27%"
"15.05.2022","5,315","5,170","5,675","5,170","8,59M","1,43%"
"08.05.2022","5,240","5,580","5,580","5,065","6,04M","-5,76%"
"01.05.2022","5,560","5,565","5,795","5,350","6,84M","-0,09%"
"24.04.2022","5,565","5,400","5,910","5,060","18,71M","4,02%"
"17.04.2022","5,350","5,230","6,630","5,210","98,81M","2,49%"
"10.04.2022","5,220","4,870","6,300","4,620","39,09M","7,19%"
"03.04.2022","4,870","5,000","5,150","4,560","16,44M","-2,60%"
"27.03.2022","5,000","4,100","5,435","3,510","35,41M","20,92%"
"20.02.2022","4,135","6,255","6,300","3,420","45,06M","-32,98%"
"13.02.2022","6,170","6,300","6,550","6,100","11,24M","-2,06%"
"06.02.2022","6,300","6,415","6,565","6,300","7,85M","-0,71%"
"30.01.2022","6,345","6,600","6,735","6,255","10,05M","-3,13%"
"23.01.2022","6,550","6,600","6,690","5,935","22,01M","-0,83%"
"16.01.2022","6,605","6,800","6,840","6,265","19,73M","-1,86%"
"09.01.2022","6,730","6,865","7,135","6,645","18,90M","-1,54%"
"02.01.2022","6,835","6,785","6,990","6,780","8,53M","1,26%"
"26.12.2021","6,750","6,860","6,930","6,705","25,57M","-1,60%"
"19.12.2021","6,860","6,820","6,885","6,715","20,92M","-0,58%"
"12.12.2021","6,900","6,990","7,040","6,710","29,82M","-1,08%"
"05.12.2021","6,975","7,050","7,115","6,935","14,13M","-1,06%"
"28.11.2021","7,050","7,010","7,490","6,950","50,22M","1,15%"
"21.11.2021","6,970","7,200","7,235","6,920","25,38M","-2,79%"
"14.11.2021","7,170","7,415","7,455","7,105","26,93M","-2,45%"
"07.11.2021","7,350","7,800","7,920","7,300","20,67M","-5,16%"
"31.10.2021","7,750","7,765","7,905","7,605","7,88M","-0,19%"
"24.10.2021","7,765","7,950","8,050","7,620","11,12M","-2,39%"
"17.10.2021","7,955","8,080","8,170","7,820","16,62M","-1,55%"
"10.10.2021","8,080","7,640","8,130","7,640","16,82M","5,97%"
"03.10.2021","7,625","7,805","7,980","7,305","20,47M","-2,74%"
"26.09.2021","7,840","7,985","8,110","7,580","14,24M","-0,82%"
"19.09.2021","7,905","8,300","8,300","7,655","27,57M","-5,33%"
"12.09.2021","8,350","8,435","8,500","7,915","137,41M","-1,30%"
"05.09.2021","8,460","8,295","8,595","8,150","57,68M","3,11%"
"29.08.2021","8,205","8,000","8,255","7,805","38,90M","2,69%"